Name;Year;Publisher;Genre;women_percentage;men_percentage;Platform;Console_Name;Manufacturer;Release_Year;Sales;Type;NA_Sales;EU_Sales;JP_Sales;Other_Sales
Wii Sports;2006;Nintendo;Sports;0,02;0,98;Wii;Wii;Nintendo;2006;101,63;Home;41,49;29,02;3,77;8,46
Super Mario Bros.;1985;Nintendo;Platform;0,25;0,75;NES;Nintendo Entertainment System;Nintendo;1983;61,91;Home;29,08;3,58;6,81;0,77
Duck Hunt;1984;Nintendo;Shooter;0,055;0,945;NES;Nintendo Entertainment System;Nintendo;1983;61,91;Home;26,93;0,63;0,28;0,47
Tetris;1989;Nintendo;Puzzle;0,42;0,58;GB;Game Boy;Nintendo;1989;118,69;Handheld;23,2;2,26;4,22;0,58
Mario Kart Wii;2008;Nintendo;Racing;0,06;0,94;Wii;Wii;Nintendo;2006;101,63;Home;15,85;12,88;3,79;3,31
Wii Sports Resort;2009;Nintendo;Sports;0,02;0,98;Wii;Wii;Nintendo;2006;101,63;Home;15,75;11,01;3,28;2,96
Kinect Adventures!;2010;Microsoft Game Studios;Misc;0,38;0,62;X360;Xbox 360;Microsoft;2005;84;Home;14,97;4,94;0,24;1,67
New Super Mario Bros. Wii;2009;Nintendo;Platform;0,25;0,75;Wii;Wii;Nintendo;2006;101,63;Home;14,59;7,06;4,7;2,26
Wii Play;2006;Nintendo;Misc;0,38;0,62;Wii;Wii;Nintendo;2006;101,63;Home;14,03;9,2;2,93;2,85
Super Mario World;1990;Nintendo;Platform;0,25;0,75;SNES;Super Nintendo Entertainment System;Nintendo;1990;49,1;Home;12,78;3,75;3,54;0,55
New Super Mario Bros.;2006;Nintendo;Platform;0,25;0,75;DS;Nintendo DS;Nintendo;2004;154,02;Handheld;11,38;9,23;6,5;2,9
Pokemon Red/Pokemon Blue;1996;Nintendo;Role-Playing;0,26;0,74;GB;Game Boy;Nintendo;1989;118,69;Handheld;11,27;8,89;10,22;1
Super Mario Land;1989;Nintendo;Platform;0,25;0,75;GB;Game Boy;Nintendo;1989;118,69;Handheld;10,83;2,71;4,18;0,42
Mario Kart DS;2005;Nintendo;Racing;0,06;0,94;DS;Nintendo DS;Nintendo;2004;154,02;Handheld;9,81;7,57;4,13;1,92
Call of Duty: Black Ops;2010;Activision;Shooter;0,055;0,945;X360;Xbox 360;Microsoft;2005;84;Home;9,67;3,73;0,11;1,13
Grand Theft Auto V;2013;Take-Two Interactive;Action;0,18;0,82;X360;Xbox 360;Microsoft;2005;84;Home;9,63;5,31;0,06;1,38
Super Mario Bros. 3;1988;Nintendo;Platform;0,25;0,75;NES;Nintendo Entertainment System;Nintendo;1983;61,91;Home;9,54;3,44;3,84;0,46
Grand Theft Auto: San Andreas;2004;Take-Two Interactive;Action;0,18;0,82;PS2;PlayStation 2;Sony;2000;155;Home;9,43;0,4;0,41;10,57
Wii Fit Plus;2009;Nintendo;Sports;0,02;0,98;Wii;Wii;Nintendo;2006;101,63;Home;9,09;8,59;2,53;1,79
Nintendogs;2005;Nintendo;Simulation;0,69;0,31;DS;Nintendo DS;Nintendo;2004;154,02;Handheld;9,07;11;1,93;2,75
Call of Duty: Modern Warfare 3;2011;Activision;Shooter;0,055;0,945;X360;Xbox 360;Microsoft;2005;84;Home;9,03;4,28;0,13;1,32
Pokemon Gold/Pokemon Silver;1999;Nintendo;Role-Playing;0,26;0,74;GB;Game Boy;Nintendo;1989;118,69;Handheld;9;6,18;7,2;0,71
Wii Fit;2007;Nintendo;Sports;0,02;0,98;Wii;Wii;Nintendo;2006;101,63;Home;8,94;8,03;3,6;2,15
Call of Duty: Modern Warfare 2;2009;Activision;Shooter;0,055;0,945;X360;Xbox 360;Microsoft;2005;84;Home;8,52;3,63;0,08;1,29
Grand Theft Auto: Vice City;2002;Take-Two Interactive;Action;0,18;0,82;PS2;PlayStation 2;Sony;2000;155;Home;8,41;5,49;0,47;1,78
Call of Duty: Black Ops II;2012;Activision;Shooter;0,055;0,945;X360;Xbox 360;Microsoft;2005;84;Home;8,25;4,3;0,07;1,12
Halo 3;2007;Microsoft Game Studios;Shooter;0,055;0,945;X360;Xbox 360;Microsoft;2005;84;Home;7,97;2,83;0,13;1,21
Pac-Man;1982;Atari;Puzzle;0,42;0,58;2600;Atari 2600;Atari;1977;30;Home;7,28;0,45;0;0,08
Halo: Reach;2010;Microsoft Game Studios;Shooter;0,055;0,945;X360;Xbox 360;Microsoft;2005;84;Home;7,03;1,98;0,08;0,78
Grand Theft Auto V;2013;Take-Two Interactive;Action;0,18;0,82;PS3;PlayStation 3;Sony;2006;87,4;Home;7,01;9,27;0,97;4,14
Grand Theft Auto III;2001;Take-Two Interactive;Action;0,18;0,82;PS2;PlayStation 2;Sony;2000;155;Home;6,99;4,51;0,3;1,3
